id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Dawn Sonata,Aurora Keys,classical,serene,0.22,68,0.58,0.20,0.96
12,Neon Carnival,Rio Voltage,reggaeton,euphoric,0.88,102,0.86,0.92,0.08
13,Dust Road Anthem,Cedar Miles,country,nostalgic,0.55,96,0.67,0.64,0.62
14,Iron Pulse,Forge Static,metal,aggressive,0.97,170,0.34,0.51,0.03
15,Golden Monsoon,Lotus Current,world,festive,0.73,108,0.79,0.76,0.29
16,Velvet Letters,Noir Harbor,rnb,romantic,0.49,84,0.74,0.69,0.46
17,City Footwork,Baseline Crew,hip hop,confident,0.81,94,0.63,0.87,0.14
18,Hinterland Fireflies,Pine Lantern,folk,melancholic,0.33,74,0.52,0.43,0.90
